userId,movieId,rating,title,genres,avg_rating,rating_count,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,genre_list
66954,781,5.0,Stealing Beauty (1996),Drama,4.666666666666667,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Drama
9877,574,4.0,Spanking the Monkey (1994),Comedy|Drama,4.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Comedy|Drama
38348,1088,2.0,Dirty Dancing (1987),Drama|Musical|Romance,2.9375,8,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,Drama|Musical|Romance
101952,2706,1.0,American Pie (1999),Comedy|Romance,3.0434782608695654,23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Comedy|Romance
140400,275079,3.5,Chip 'n Dale: Rescue Rangers (2022),Adventure|Animation|Children|Comedy|Fantasy|Mystery,3.5,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Adventure|Animation|Children|Comedy|Fantasy|Mystery
173400,1079,4.0,"Fish Called Wanda, A (1988)",Comedy|Crime,3.6333333333333333,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Comedy|Crime
74417,69526,1.0,Transformers: Revenge of the Fallen (2009),Action|Adventure|Sci-Fi|IMAX,1.8333333333333333,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Action|Adventure|Sci-Fi|IMAX
195523,2762,5.0,"Sixth Sense, The (1999)",Drama|Horror|Mystery,4.145161290322581,31,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,Drama|Horror|Mystery
1953,7451,4.0,Mean Girls (2004),Comedy,3.857142857142857,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
82682,1210,5.0,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,4.107142857142857,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Action|Adventure|Sci-Fi
93112,30793,4.0,Charlie and the Chocolate Factory (2005),Adventure|Children|Comedy|Fantasy|IMAX,3.1470588235294117,17,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Adventure|Children|Comedy|Fantasy|IMAX
29008,7024,0.5,"Salo, or The 120 Days of Sodom (Salò o le 120 giornate di Sodoma) (1976)",Drama,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Drama
15092,68157,4.5,Inglourious Basterds (2009),Action|Drama|War,3.892857142857143,28,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Action|Drama|War
64197,48516,3.5,"Departed, The (2006)",Crime|Drama|Thriller,4.035714285714286,14,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Crime|Drama|Thriller
197624,55247,5.0,Into the Wild (2007),Action|Adventure|Drama,3.6666666666666665,9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Action|Adventure|Drama
136388,784,3.0,"Cable Guy, The (1996)",Comedy|Thriller,2.6538461538461537,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Comedy|Thriller
