userId,movieId,rating,timestamp
66954,781,5.0,850944577
9877,574,4.0,945495614
38348,1088,2.0,999974867
101952,2706,1.0,1203077565
140400,275079,3.5,1653782463
173400,1079,4.0,1133884396
74417,69526,1.0,1511831626
195523,2762,5.0,1196244339
1953,7451,4.0,1117552226
82682,1210,5.0,1525844054
93112,30793,4.0,1168789318
29008,7024,0.5,1580407766
15092,68157,4.5,1266293957
64197,48516,3.5,1211725237
197624,55247,5.0,1675683191
136388,784,3.0,1482780322
99083,1721,2.0,1310890388
84937,1210,5.0,1051378880
24772,1378,4.0,1067220789
163220,53887,3.5,1589879484
74771,174055,4.5,1517154253
175222,91500,5.0,1467933948
9268,8947,2.5,1517735272
168590,267,2.0,995222477
160520,912,4.0,1273683436
23582,4329,3.5,1228315985
141289,122896,2.0,1676668338
165780,115617,3.5,1437171501
95619,165,2.5,1132777006
176609,110,4.0,1166372996
84906,1,5.0,846267205
185677,4014,4.5,1225259510
38091,595,4.0,1583482360
127171,4292,1.0,1513493678
149333,912,5.0,1138010777
170625,1408,3.0,970775299
36033,805,4.0,1038800224
159664,380,4.5,1298236734
159849,2722,3.0,1289394589
67227,120130,4.0,1630929819
59586,153,2.0,1201899633
72871,8780,3.5,1201431776
74478,1407,2.5,1550607717
83316,76093,2.0,1499398425
169678,507,5.0,1009680909
22285,142507,3.5,1605128569
15996,1272,5.0,954474890
12995,4571,4.5,1226449597
175407,4085,4.0,1079794092
34383,176,3.0,1001373214
100398,177765,4.0,1520371282
137148,1307,4.0,1142956516
168301,2194,4.0,1111573278
136638,34048,3.0,1274307913
19210,81768,2.5,1472698847
139459,49530,2.5,1424626547
141633,380,4.0,839137014
80786,1078,4.0,856858734
80331,991,3.0,956684435
141161,1297,3.0,879946167
67934,33004,3.5,1135871047
103163,6001,4.0,1567485400
21773,3527,4.0,1688589454
93064,34530,1.5,1564592055
141590,263009,3.5,1641173419
81249,79702,3.0,1684503676
73604,4488,1.0,1043726190
133941,3895,1.0,1176148837
123703,7160,3.5,1172777842
172093,4995,5.0,1009379285
85139,1393,3.0,1193477559
74596,410,1.0,836668461
